timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021/4/20,362205.1213,363240.3718,353712.9551,355283.7024,55633.14,55792.15,54328.78,54570.04,5314.745691,5314.745691
2021/4/19,365570.2551,374534.0492,353015.0187,362205.1213,56150.01,57526.81,54221.58,55633.14,78229.04227,78229.04227
2021/4/18,390679.4257,393884.7894,331593.3218,365570.2551,60006.67,60499,50931.3,56150.01,124882.1318,124882.1318
2021/4/17,399326.414,406951.8891,387907.4726,390679.3606,61334.81,62506.05,59580.91,60006.66,58912.25613,58912.25613
2021/4/16,411201.2926,413557.2835,390636,399326.3489,63158.74,63520.61,60000,61334.8,91764.13988,91764.13988
2021/4/15,409904.316,415376.28,403787.412,411209.3658,62959.53,63800,62020,63159.98,51649.70034,51649.70034
2021/4/14,413911.4601,422238.4524,399106.2906,409904.316,63575.01,64854,61301,62959.53,82616.34399,82616.34399
2021/4/13,389724.5811,415231.5494,389367.4096,413911.395,59860.01,63777.77,59805.15,63575,82848.68875,82848.68875
2021/4/12,390628.1873,399099.78,386407.9513,389724.516,59998.8,61300,59350.59,59860,56375.03712,56375.03712
2021/4/11,389132.8978,395186.9094,385639.2447,390651.8208,59769.13,60699,59232.52,60002.43,41156.71539,41156.71539
2021/4/10,378542.886,400401.9,376963.8051,389132.8978,58142.55,61500,57900.01,59769.13,69906.42412,69906.42412
2021/4/9,378119.5017,383441.1359,375362.1324,378542.8209,58077.52,58894.9,57654,58142.54,40831.88491,40831.88491
2021/4/8,364290.4665,378612.9401,362640.42,378119.5017,55953.44,58153.31,55700,58077.52,44283.14702,44283.14702
2021/4/7,377549.8893,381879.243,361162.5138,364290.5316,57990.03,58655,55473,55953.45,71228.40566,71228.40566
2021/4/6,384971.7129,387349.7095,373793.208,377557.1812,59129.99,59495.24,57413.02,57991.15,54201.00073,54201.00073
2021/4/5,378930.0063,385896.2832,369657.3494,384971.7129,58202.01,59272,56777.77,59129.99,54258.01579,54258.01579
2021/4/4,371442.4257,380823.5492,367119.7128,378930.0063,57051.95,58492.85,56388,58202.01,41314.08197,41314.08197
