timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021/4/20,55633.14,55792.15,54630.96,54716.85,55633.14,55792.15,54630.96,54716.85,3075.067211,3075.067211
2021/4/19,56150.01,57526.81,54221.58,55633.14,56150.01,57526.81,54221.58,55633.14,78229.04227,78229.04227
2021/4/18,60006.67,60499,50931.3,56150.01,60006.67,60499,50931.3,56150.01,124882.1318,124882.1318
2021/4/17,61334.81,62506.05,59580.91,60006.66,61334.81,62506.05,59580.91,60006.66,58912.25613,58912.25613
2021/4/16,63158.74,63520.61,60000,61334.8,63158.74,63520.61,60000,61334.8,91764.13988,91764.13988
2021/4/15,62959.53,63800,62020,63159.98,62959.53,63800,62020,63159.98,51649.70034,51649.70034
2021/4/14,63575.01,64854,61301,62959.53,63575.01,64854,61301,62959.53,82616.34399,82616.34399
2021/4/13,59860.01,63777.77,59805.15,63575,59860.01,63777.77,59805.15,63575,82848.68875,82848.68875
2021/4/12,59998.8,61300,59350.59,59860,59998.8,61300,59350.59,59860,56375.03712,56375.03712
2021/4/11,59769.13,60699,59232.52,60002.43,59769.13,60699,59232.52,60002.43,41156.71539,41156.71539
2021/4/10,58142.55,61500,57900.01,59769.13,58142.55,61500,57900.01,59769.13,69906.42412,69906.42412
2021/4/9,58077.52,58894.9,57654,58142.54,58077.52,58894.9,57654,58142.54,40831.88491,40831.88491
2021/4/8,55953.44,58153.31,55700,58077.52,55953.44,58153.31,55700,58077.52,44283.14702,44283.14702
2021/4/7,57990.03,58655,55473,55953.45,57990.03,58655,55473,55953.45,71228.40566,71228.40566
2021/4/6,59129.99,59495.24,57413.02,57991.15,59129.99,59495.24,57413.02,57991.15,54201.00073,54201.00073
2021/4/5,58202.01,59272,56777.77,59129.99,58202.01,59272,56777.77,59129.99,54258.01579,54258.01579
2021/4/4,57051.95,58492.85,56388,58202.01,57051.95,58492.85,56388,58202.01,41314.08197,41314.08197
2021/4/3,58950.01,59791.72,56880,57051.94,58950.01,59791.72,56880,57051.94,47409.85211,47409.85211
