timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021/4/20,2071.1,2129,2070,2094.8,2094.8,2829040,0,1
2021/4/19,2055,2098.36,2033,2088,2088,3175390,0,1
2021/4/16,2025.08,2068,2012,2054.98,2054.98,3029370,0,1
2021/4/15,2030.9,2046.9,1990,2015.6,2015.6,3436620,0,1
2021/4/14,2035,2048,2016,2047,2047,2411470,0,1
2021/4/13,2020,2049.8,2009,2021,2021,2899220,0,1
2021/4/12,2011,2030,1991.7,2008.89,2008.89,3194310,0,1
2021/4/9,2042,2054,2005.01,2020,2020,2880890,0,1
2021/4/8,2047.03,2079,2044,2070,2070,2854760,0,1
2021/4/7,2104.06,2117.3,2050,2061,2061,4020100,0,1
2021/4/6,2161,2161.98,2102.3,2126.03,2126.03,3274180,0,1
2021/4/5,2162,2162,2162,2162,2162,0,0,1
2021/4/2,2056,2165,2056,2162,2162,5202760,0,1
2021/4/1,2021,2046.8,2001.22,2044.5,2044.5,2658760,0,1
2021/3/31,2045.1,2046.02,2000,2009,2009,3715440,0,1
2021/3/30,2040,2086,2035.08,2056.05,2056.05,3262700,0,1
2021/3/29,2043.2,2096.35,2026.15,2034.1,2034.1,5699220,0,1
2021/3/26,1985,2022,1958,2013,2013,5001640,0,1
2021/3/25,1970.01,1988.88,1946.8,1971,1971,3157520,0,1
2021/3/24,1981,2013,1981,1989,1989,2935740,0,1
2021/3/23,1998.88,2008.8,1970,1996,1996,2744620,0,1
2021/3/22,2000.1,2026.09,1955.55,1989.99,1989.99,3691410,0,1
2021/3/19,2035,2043,1992.23,2010,2010,3578080,0,1
2021/3/18,2035,2086.36,2035,2069.7,2069.7,3386490,0,1
2021/3/17,2000,2050,1976.01,2030.36,2030.36,3137490,0,1
2021/3/16,1974.93,2019.99,1965,2010.5,2010.5,3464850,0,1
2021/3/15,2050,2069.8,1951.15,1975.45,1975.45,6248490,0,1
2021/3/12,2070,2077,2002.01,2026,2026,4032250,0,1
2021/3/11,1975,2079.99,1961.48,2048,2048,5676900,0,1
2021/3/10,1977,1999.87,1967,1970.01,1970.01,5117170,0,1
2021/3/9,1955,2000,1900.18,1936.99,1936.99,8226580,0,1
2021/3/8,2074.96,2085,1960,1960,1960,6309960,0,1
2021/3/5,2000,2095,1988,2060.11,2060.11,6377920,0,1
2021/3/4,2095,2096,2010.1,2033,2033,6508830,0,1
2021/3/3,2040,2149.77,2033,2140,2140,5421550,0,1
2021/3/2,2180,2180,2033,2058,2058,7076450,0,1
2021/3/1,2179,2179,2120,2158,2158,4491630,0,1
2021/2/26,2100,2179.95,2067.3,2122.78,2122.78,6652510,0,1
2021/2/25,2209,2224.5,2121.21,2150,2150,5972640,0,1
2021/2/24,2307.99,2318,2160.5,2189,2189,8211580,0,1
2021/2/23,2265.14,2344.89,2265,2307,2307,5745460,0,1
2021/2/22,2455,2455,2278.22,2288.02,2288.02,7893550,0,1
2021/2/19,2451.16,2496.66,2381.6,2460,2460,5938550,0,1
2021/2/18,2587.98,2627.88,2465,2471,2471,6591230,0,1
